cohort	feature	rate	rate_95CI_lo	rate_95CI_hi
CNS-Oligo	CDS	3.143619e-01	2.892479e-01	3.416894e-01
CNS-Oligo	enhancers	7.045636e-01	6.141980e-01	8.084418e-01
CNS-Oligo	lncrna	6.767279e-01	5.854226e-01	7.825090e-01
CNS-Oligo	lncrna.prom	3.305472e-01	2.565033e-01	4.263893e-01
CNS-Oligo	pc.3utr	2.297625e-01	2.079486e-01	2.539002e-01
CNS-Oligo	pc.5utr	2.309684e-01	1.910660e-01	2.793521e-01
CNS-Oligo	promcore	3.151005e-01	2.782909e-01	3.568571e-01
CNS-PiloAstro	CDS	2.828280e-02	2.496629e-02	3.204695e-02
CNS-PiloAstro	enhancers	5.197293e-02	4.143086e-02	6.524813e-02
CNS-PiloAstro	lncrna	4.583830e-02	3.618783e-02	5.811184e-02
CNS-PiloAstro	lncrna.prom	1.101445e-01	6.908326e-02	1.763615e-01
CNS-PiloAstro	pc.3utr	2.445200e-02	2.082301e-02	2.872417e-02
CNS-PiloAstro	pc.5utr	5.689900e-02	4.230026e-02	7.664447e-02
CNS-PiloAstro	promcore	4.959271e-02	3.976500e-02	6.189473e-02
Carcinoma	CDS	1.396468e+00	1.391041e+00	1.401918e+00
Carcinoma	enhancers	1.539502e+00	1.529992e+00	1.549071e+00
Carcinoma	lncrna	1.609613e+00	1.599508e+00	1.619782e+00
Carcinoma	lncrna.prom	1.711076e+00	1.692873e+00	1.729477e+00
Carcinoma	pc.3utr	1.410321e+00	1.404694e+00	1.415971e+00
Carcinoma	pc.5utr	1.479054e+00	1.467504e+00	1.490696e+00
Carcinoma	promcore	1.497933e+00	1.489043e+00	1.506877e+00
Cervix-SCC	CDS	7.964213e-01	7.558122e-01	8.392441e-01
Cervix-SCC	enhancers	1.667382e+00	1.524424e+00	1.823951e+00
Cervix-SCC	lncrna	1.597386e+00	1.453330e+00	1.755941e+00
Cervix-SCC	lncrna.prom	6.754299e-01	5.708778e-01	7.994581e-01
Cervix-SCC	pc.3utr	6.570732e-01	6.194909e-01	6.969690e-01
Cervix-SCC	pc.5utr	9.385075e-01	8.534926e-01	1.032121e+00
Cervix-SCC	promcore	9.629394e-01	8.963568e-01	1.034542e+00
ColoRect-AdenoCa	CDS	1.149373e+01	1.140091e+01	1.158733e+01
ColoRect-AdenoCa	enhancers	1.542658e+01	1.524688e+01	1.560843e+01
ColoRect-AdenoCa	lncrna	1.732143e+01	1.712272e+01	1.752248e+01
ColoRect-AdenoCa	lncrna.prom	1.706460e+01	1.672557e+01	1.741060e+01
ColoRect-AdenoCa	pc.3utr	1.595533e+01	1.584152e+01	1.606997e+01
ColoRect-AdenoCa	pc.5utr	1.064731e+01	1.045423e+01	1.084401e+01
ColoRect-AdenoCa	promcore	1.099595e+01	1.084687e+01	1.114711e+01
Digestive_tract	CDS	1.907925e+00	1.898249e+00	1.917650e+00
Digestive_tract	enhancers	2.227640e+00	2.210136e+00	2.245285e+00
Digestive_tract	lncrna	2.399237e+00	2.380303e+00	2.418324e+00
Digestive_tract	lncrna.prom	2.463758e+00	2.430608e+00	2.497365e+00
Digestive_tract	pc.3utr	2.151570e+00	2.140874e+00	2.162320e+00
Digestive_tract	pc.5utr	1.987019e+00	1.965781e+00	2.008489e+00
Digestive_tract	promcore	2.027107e+00	2.010663e+00	2.043687e+00
Eso-AdenoCa	CDS	1.942995e+00	1.915140e+00	1.971261e+00
Eso-AdenoCa	enhancers	2.056257e+00	2.008850e+00	2.104799e+00
Eso-AdenoCa	lncrna	2.097987e+00	2.048806e+00	2.148366e+00
Eso-AdenoCa	lncrna.prom	2.283345e+00	2.194995e+00	2.375303e+00
Eso-AdenoCa	pc.3utr	1.564429e+00	1.539014e+00	1.590269e+00
Eso-AdenoCa	pc.5utr	1.828091e+00	1.776015e+00	1.881715e+00
Eso-AdenoCa	promcore	1.858241e+00	1.818031e+00	1.899353e+00
Female_reproductive_tract	CDS	1.049303e+00	1.038964e+00	1.059746e+00
Female_reproductive_tract	enhancers	1.054821e+00	1.037667e+00	1.072263e+00
Female_reproductive_tract	lncrna	1.061060e+00	1.043295e+00	1.079131e+00
Female_reproductive_tract	lncrna.prom	1.095741e+00	1.064507e+00	1.127904e+00
Female_reproductive_tract	pc.3utr	9.709149e-01	9.607082e-01	9.812316e-01
Female_reproductive_tract	pc.5utr	1.214610e+00	1.192033e+00	1.237620e+00
Female_reproductive_tract	promcore	1.202047e+00	1.185051e+00	1.219290e+00
Glioma	CDS	4.973225e-01	4.858870e-01	5.090308e-01
Glioma	enhancers	6.910615e-01	6.638359e-01	7.194197e-01
Glioma	lncrna	6.228059e-01	5.966736e-01	6.500992e-01
Glioma	lncrna.prom	9.726998e-01	9.051366e-01	1.045382e+00
Glioma	pc.3utr	4.663793e-01	4.539555e-01	4.791479e-01
Glioma	pc.5utr	7.873109e-01	7.503183e-01	8.261538e-01
Glioma	promcore	7.453538e-01	7.186594e-01	7.730539e-01
Head-SCC	CDS	1.644492e+00	1.610871e+00	1.678824e+00
Head-SCC	enhancers	1.527013e+00	1.473796e+00	1.582179e+00
Head-SCC	lncrna	1.621124e+00	1.563923e+00	1.680446e+00
Head-SCC	lncrna.prom	1.691011e+00	1.591363e+00	1.796991e+00
Head-SCC	pc.3utr	1.297958e+00	1.267523e+00	1.329136e+00
Head-SCC	pc.5utr	1.804497e+00	1.734772e+00	1.877064e+00
Head-SCC	promcore	1.762751e+00	1.710271e+00	1.816865e+00
Hematopoietic_system	CDS	6.292270e-01	6.190525e-01	6.395711e-01
Hematopoietic_system	enhancers	6.250151e-01	6.080197e-01	6.424922e-01
Hematopoietic_system	lncrna	6.800460e-01	6.616153e-01	6.989974e-01
Hematopoietic_system	lncrna.prom	7.163601e-01	6.828292e-01	7.515614e-01
Hematopoietic_system	pc.3utr	4.834186e-01	4.742371e-01	4.927803e-01
Hematopoietic_system	pc.5utr	9.336686e-01	9.082730e-01	9.597845e-01
Hematopoietic_system	promcore	7.841181e-01	7.658786e-01	8.027982e-01
Kidney	CDS	6.780888e-01	6.662247e-01	6.901671e-01
Kidney	enhancers	6.781205e-01	6.586013e-01	6.982264e-01
Kidney	lncrna	6.858089e-01	6.654648e-01	7.067837e-01
Kidney	lncrna.prom	7.402892e-01	7.030308e-01	7.795509e-01
Kidney	pc.3utr	6.305838e-01	6.189019e-01	6.424892e-01
Kidney	pc.5utr	7.463996e-01	7.210825e-01	7.726182e-01
Kidney	promcore	7.336677e-01	7.143077e-01	7.535599e-01
Kidney-ChRCC	CDS	2.362969e-01	2.220570e-01	2.514636e-01
Kidney-ChRCC	enhancers	1.764633e-01	1.566888e-01	1.987731e-01
Kidney-ChRCC	lncrna	2.134361e-01	1.908122e-01	2.387848e-01
Kidney-ChRCC	lncrna.prom	2.420230e-01	1.960988e-01	2.988998e-01
Kidney-ChRCC	pc.3utr	1.820980e-01	1.694082e-01	1.957526e-01
Kidney-ChRCC	pc.5utr	2.309197e-01	2.028623e-01	2.629203e-01
Kidney-ChRCC	promcore	2.240369e-01	2.025537e-01	2.478341e-01
Kidney-RCC	CDS	8.109353e-01	7.961440e-01	8.260052e-01
Kidney-RCC	enhancers	8.292888e-01	8.046770e-01	8.546640e-01
Kidney-RCC	lncrna	8.284062e-01	8.029110e-01	8.547226e-01
Kidney-RCC	lncrna.prom	8.517165e-01	8.075450e-01	8.983393e-01
Kidney-RCC	pc.3utr	7.667381e-01	7.520312e-01	7.817366e-01
Kidney-RCC	pc.5utr	8.971376e-01	8.654511e-01	9.300007e-01
Kidney-RCC	promcore	8.848966e-01	8.606924e-01	9.097910e-01
Liver-HCC	CDS	1.028454e+00	1.017170e+00	1.039864e+00
Liver-HCC	enhancers	1.311186e+00	1.289457e+00	1.333287e+00
Liver-HCC	lncrna	1.334331e+00	1.311208e+00	1.357867e+00
Liver-HCC	lncrna.prom	1.336131e+00	1.297011e+00	1.376448e+00
Liver-HCC	pc.3utr	1.183307e+00	1.170446e+00	1.196312e+00
Liver-HCC	pc.5utr	1.338705e+00	1.307804e+00	1.370346e+00
Liver-HCC	promcore	1.350944e+00	1.327099e+00	1.375224e+00
Lung	CDS	3.374375e+00	3.334875e+00	3.414350e+00
Lung	enhancers	3.685305e+00	3.616604e+00	3.755329e+00
Lung	lncrna	3.508445e+00	3.439362e+00	3.578935e+00
Lung	lncrna.prom	3.983527e+00	3.855941e+00	4.115395e+00
Lung	pc.3utr	2.632645e+00	2.596764e+00	2.669029e+00
Lung	pc.5utr	3.645160e+00	3.564000e+00	3.728194e+00
Lung	promcore	3.815702e+00	3.751899e+00	3.880606e+00
Lung-AdenoCa	CDS	3.097650e+00	3.040821e+00	3.155556e+00
Lung-AdenoCa	enhancers	3.812986e+00	3.702870e+00	3.926423e+00
Lung-AdenoCa	lncrna	3.408340e+00	3.301790e+00	3.518378e+00
Lung-AdenoCa	lncrna.prom	3.795980e+00	3.606589e+00	3.995461e+00
Lung-AdenoCa	pc.3utr	2.298289e+00	2.247536e+00	2.350204e+00
Lung-AdenoCa	pc.5utr	3.268870e+00	3.154507e+00	3.387439e+00
Lung-AdenoCa	promcore	3.476501e+00	3.385920e+00	3.569539e+00
Lung-SCC	CDS	3.592224e+00	3.537835e+00	3.647460e+00
Lung-SCC	enhancers	3.800981e+00	3.708824e+00	3.895460e+00
Lung-SCC	lncrna	3.778638e+00	3.683493e+00	3.876276e+00
Lung-SCC	lncrna.prom	4.117476e+00	3.947436e+00	4.294946e+00
Lung-SCC	pc.3utr	2.881304e+00	2.831583e+00	2.931911e+00
Lung-SCC	pc.5utr	3.958890e+00	3.844911e+00	4.076295e+00
Lung-SCC	promcore	4.100027e+00	4.011159e+00	4.190890e+00
Lymph-BNHL	CDS	1.147587e+00	1.127050e+00	1.168505e+00
Lymph-BNHL	enhancers	1.087332e+00	1.054380e+00	1.121329e+00
Lymph-BNHL	lncrna	1.233460e+00	1.196844e+00	1.271211e+00
Lymph-BNHL	lncrna.prom	1.199332e+00	1.137043e+00	1.265084e+00
Lymph-BNHL	pc.3utr	8.705661e-01	8.522585e-01	8.892725e-01
Lymph-BNHL	pc.5utr	1.855593e+00	1.801520e+00	1.911312e+00
Lymph-BNHL	promcore	1.472295e+00	1.435247e+00	1.510312e+00
Lymph-CLL	CDS	2.186321e-01	2.090796e-01	2.286274e-01
Lymph-CLL	enhancers	2.392042e-01	2.227280e-01	2.569174e-01
Lymph-CLL	lncrna	2.235728e-01	2.070072e-01	2.414840e-01
Lymph-CLL	lncrna.prom	2.895137e-01	2.564337e-01	3.269292e-01
Lymph-CLL	pc.3utr	1.796149e-01	1.706564e-01	1.890505e-01
Lymph-CLL	pc.5utr	2.426560e-01	2.212196e-01	2.662014e-01
Lymph-CLL	promcore	2.104453e-01	1.952850e-01	2.268002e-01
Lymphatic_system	CDS	7.194881e-01	7.076072e-01	7.315712e-01
Lymphatic_system	enhancers	7.007448e-01	6.813894e-01	7.206578e-01
Lymphatic_system	lncrna	7.665437e-01	7.454893e-01	7.882012e-01
Lymphatic_system	lncrna.prom	7.959946e-01	7.582478e-01	8.356477e-01
Lymphatic_system	pc.3utr	5.532004e-01	5.425205e-01	5.640935e-01
Lymphatic_system	pc.5utr	1.077988e+00	1.048281e+00	1.108548e+00
Lymphatic_system	promcore	9.143046e-01	8.926857e-01	9.364545e-01
Myeloid	CDS	1.612949e-01	1.488933e-01	1.747450e-01
Myeloid	enhancers	1.446779e-01	1.238413e-01	1.690793e-01
Myeloid	lncrna	1.350243e-01	1.141938e-01	1.597197e-01
Myeloid	lncrna.prom	1.549597e-01	1.155867e-01	2.080311e-01
Myeloid	pc.3utr	1.027657e-01	9.240281e-02	1.143088e-01
Myeloid	pc.5utr	1.656890e-01	1.397769e-01	1.964873e-01
Myeloid	promcore	1.581448e-01	1.388506e-01	1.801634e-01
Myeloid-MPN	CDS	1.379149e-01	1.234077e-01	1.541543e-01
Myeloid-MPN	enhancers	2.076152e-01	1.659965e-01	2.598647e-01
Myeloid-MPN	lncrna	2.036029e-01	1.610118e-01	2.576763e-01
Myeloid-MPN	lncrna.prom	1.233682e-01	7.928958e-02	1.926644e-01
Myeloid-MPN	pc.3utr	8.925436e-02	7.718126e-02	1.032472e-01
Myeloid-MPN	pc.5utr	1.644089e-01	1.320118e-01	2.049051e-01
Myeloid-MPN	promcore	1.450958e-01	1.223254e-01	1.721777e-01
Ovary-AdenoCa	CDS	9.953327e-01	9.766539e-01	1.014374e+00
Ovary-AdenoCa	enhancers	9.847191e-01	9.541751e-01	1.016255e+00
Ovary-AdenoCa	lncrna	9.553407e-01	9.242751e-01	9.874652e-01
Ovary-AdenoCa	lncrna.prom	1.056343e+00	1.000296e+00	1.115577e+00
Ovary-AdenoCa	pc.3utr	8.319204e-01	8.145204e-01	8.496973e-01
Ovary-AdenoCa	pc.5utr	1.115396e+00	1.077081e+00	1.155094e+00
Ovary-AdenoCa	promcore	1.174018e+00	1.143863e+00	1.204979e+00
Panc-AdenoCa	CDS	7.528750e-01	7.416665e-01	7.642553e-01
Panc-AdenoCa	enhancers	6.150597e-01	5.984112e-01	6.321779e-01
Panc-AdenoCa	lncrna	6.536367e-01	6.358994e-01	6.718758e-01
Panc-AdenoCa	lncrna.prom	7.369186e-01	7.044727e-01	7.708804e-01
Panc-AdenoCa	pc.3utr	5.656817e-01	5.558014e-01	5.757401e-01
Panc-AdenoCa	pc.5utr	7.203512e-01	6.989899e-01	7.423746e-01
Panc-AdenoCa	promcore	7.146942e-01	6.983917e-01	7.313827e-01
Panc-Endocrine	CDS	3.682399e-01	3.551162e-01	3.818556e-01
Panc-Endocrine	enhancers	3.199741e-01	2.997845e-01	3.415436e-01
Panc-Endocrine	lncrna	3.445184e-01	3.227334e-01	3.677957e-01
Panc-Endocrine	lncrna.prom	3.936572e-01	3.529842e-01	4.390903e-01
Panc-Endocrine	pc.3utr	2.922198e-01	2.803390e-01	3.046114e-01
Panc-Endocrine	pc.5utr	3.612043e-01	3.359337e-01	3.884044e-01
Panc-Endocrine	promcore	3.695099e-01	3.498969e-01	3.902383e-01
Prost-AdenoCa	CDS	3.403943e-01	3.322941e-01	3.486947e-01
Prost-AdenoCa	enhancers	3.209469e-01	3.079353e-01	3.345163e-01
Prost-AdenoCa	lncrna	3.415955e-01	3.275992e-01	3.561984e-01
Prost-AdenoCa	lncrna.prom	3.946575e-01	3.677647e-01	4.235462e-01
Prost-AdenoCa	pc.3utr	2.891343e-01	2.814594e-01	2.970215e-01
Prost-AdenoCa	pc.5utr	3.773935e-01	3.599959e-01	3.956439e-01
Prost-AdenoCa	promcore	3.626136e-01	3.497616e-01	3.759446e-01
Sarcoma	CDS	4.029409e-01	3.902371e-01	4.160642e-01
Sarcoma	enhancers	4.160305e-01	3.936857e-01	4.396621e-01
Sarcoma	lncrna	4.043155e-01	3.823091e-01	4.276071e-01
Sarcoma	lncrna.prom	4.508352e-01	4.094361e-01	4.964848e-01
Sarcoma	pc.3utr	3.457853e-01	3.336622e-01	3.583551e-01
Sarcoma	pc.5utr	4.318743e-01	4.060613e-01	4.593524e-01
Sarcoma	promcore	4.291580e-01	4.096269e-01	4.496338e-01
Skin-Melanoma	CDS	8.751280e+00	8.694767e+00	8.808166e+00
Skin-Melanoma	enhancers	9.345110e+00	9.248531e+00	9.442712e+00
Skin-Melanoma	lncrna	8.941438e+00	8.843713e+00	9.040258e+00
Skin-Melanoma	lncrna.prom	9.800633e+00	9.624620e+00	9.979910e+00
Skin-Melanoma	pc.3utr	6.979835e+00	6.928242e+00	7.031817e+00
Skin-Melanoma	pc.5utr	7.905359e+00	7.799205e+00	8.012978e+00
Skin-Melanoma	promcore	9.780674e+00	9.690230e+00	9.871974e+00
Squamous	CDS	2.274890e+00	2.247869e+00	2.302240e+00
Squamous	enhancers	2.298244e+00	2.253427e+00	2.343964e+00
Squamous	lncrna	2.331548e+00	2.284668e+00	2.379403e+00
Squamous	lncrna.prom	2.490581e+00	2.407472e+00	2.576600e+00
Squamous	pc.3utr	1.817712e+00	1.793071e+00	1.842696e+00
Squamous	pc.5utr	2.503190e+00	2.446959e+00	2.560731e+00
Squamous	promcore	2.537782e+00	2.494449e+00	2.581879e+00
Stomach-AdenoCa	CDS	2.647783e+00	2.608952e+00	2.687199e+00
Stomach-AdenoCa	enhancers	2.615155e+00	2.549568e+00	2.682452e+00
Stomach-AdenoCa	lncrna	2.671288e+00	2.603697e+00	2.740659e+00
Stomach-AdenoCa	lncrna.prom	2.882824e+00	2.760744e+00	3.010380e+00
Stomach-AdenoCa	pc.3utr	2.451566e+00	2.412781e+00	2.490982e+00
Stomach-AdenoCa	pc.5utr	2.747503e+00	2.667385e+00	2.830061e+00
Stomach-AdenoCa	promcore	2.745016e+00	2.683993e+00	2.807445e+00
Thy-AdenoCa	CDS	1.773615e-01	1.657189e-01	1.898343e-01
Thy-AdenoCa	enhancers	1.691812e-01	1.496377e-01	1.913180e-01
Thy-AdenoCa	lncrna	1.825456e-01	1.617998e-01	2.059939e-01
Thy-AdenoCa	lncrna.prom	2.248272e-01	1.851307e-01	2.731880e-01
Thy-AdenoCa	pc.3utr	1.356905e-01	1.252742e-01	1.469859e-01
Thy-AdenoCa	pc.5utr	2.391372e-01	2.125232e-01	2.691369e-01
Thy-AdenoCa	promcore	2.328054e-01	2.129048e-01	2.545946e-01
Uterus-AdenoCa	CDS	2.067409e+00	2.024884e+00	2.110839e+00
Uterus-AdenoCa	enhancers	2.239303e+00	2.166271e+00	2.314832e+00
Uterus-AdenoCa	lncrna	2.480300e+00	2.400370e+00	2.562930e+00
Uterus-AdenoCa	lncrna.prom	2.391660e+00	2.256341e+00	2.535214e+00
Uterus-AdenoCa	pc.3utr	2.444868e+00	2.397379e+00	2.493312e+00
Uterus-AdenoCa	pc.5utr	2.343201e+00	2.248225e+00	2.442247e+00
Uterus-AdenoCa	promcore	2.396507e+00	2.322714e+00	2.472677e+00
